,Keyword:0,Keyword:1,Keyword:2,Keyword:3,Keyword:4,Keyword:5,Keyword:6,Keyword:7,Keyword:8,Keyword:9,Keyword:10,Keyword:11,Keyword:12,Keyword:13,Keyword:14,Keyword:15,Keyword:16,Keyword:17,Keyword:18,Keyword:19
110,laatste vier keer,laatste acht keer,keer,vier keer,laatste,zes keer,terug,laatste vier,dubbel,strek,laatste keer,laatste acht,goed,hou vast,vier,hou,schouders,acht keer,kom,laatste twee keer
111,soundos,heel,gelach,mensen,netflix,pieter,jaar,dag,rayen,rayen panday,nou,soundos el ahmadi,gaat,zien,leven,vindt,weet,ahmadi en rayen,applaus,vind
112,heel,heide,zitten,gaat,groote heide,echt,water,heel europa,soort,echt helemaal heide,nederland,gaan,vogels,elkaar,goed,eigenlijk,vroege vogels,helemaal,allemaal,beetje
113,amersfoort,heel,gaan,gaat,welmoed sijtsma,amsterdam,koning,jaar,amalia,oranje,meneer segers,allemaal,echt,straks,nederland,segers,amalia weet heel,vandaag,heel leuk,vorig jaar
114,noordzee,muziek,muziek van the,you really got,tweede wereldoorlog,dover,redsand fort,dover castle,fort,the radio star,killed the radio,the,the kinks,groot brittanie,redsand project,video killed the,engeland,redsand fort ingenomen,you really,really got
115,goedemorgen nederland,gaat goedemorgen nederland,amersfoort,goedemorgen,jan kees emmer,heel,jan kees,mark kampers staat,nederland,heel mooie koningsdag,xima-kenner josine droogendijk,mensen,mark kampers,josine droogendijk,gaan,gaat goedemorgen,koningsdag,gaat,koning,niks
116,mevrouw,heel,slotenmaker,max ombudsman,sabino bouw,kozijnen,mensen,geld,euro,komt,mevrouw van weeghel,gaan,mee,politiekeurmerk veilig wonen,geld terug,max,weeghel,maken,bouw,meneer
117,mooi mooi mooi,amersfoort,mooi mooi,mooi,koning,dierenpark amersfoort,heel,goed,mensen,gaat,dank,dag,vandaag,gaan,johan,team amersfoort,koningsdag,jaar,familie,mee
118,heel,goed,gaat,gregory sedoc,pieken,echt,tokio,sedoc,eigenlijk,pil,controle,temperatuur,moment,gaan,nou,krijgen,robert,water,heel goed,zit
119,heel,eigenlijk,muziek,keer,leven,ezels,gaan,heel erg,jaar,goed,ervaring,margot,heel goed,mysterieuze muziek,gaat,echt,ezel,uiteindelijk,vorige keer heel,kom
120,laurentien,prinses laurentien,laurentien brinkhorst,heel,prinses,beste prinses laurentien,constantijn,mensen,denk,echt,brinkhorst,vind laurentien,vind,laurens jan brinkhorst,paul van loon,heel goed,kinderen,meneer brinkhorst,leren,lezen
121,componist jake heggie,jake heggie,fuse,vinci,erik visser,flairck,amerikaanse componist jake,applaus,leonardo da vinci,dank,gwyneth wentink,gwyneth,stuk,muziek,componist jake,jake,fuse speelt,compilatie flairck,erik,heel
122,marianne vaatstra,vaatstra,azc,marianne,bauke vaatstra,heel,heel erg,mensen,bewoners,zaak,asielzoekers,meneer vaatstra,centrum,heel erg interessant,zaak vaatstra,denk,erg,moord,staat meneer vaatstra,brief
123,muziek,melkboer,muziek van crosby,muziek van curtis,nash and young,and,bijlmermeer,the,jaren,muziek van the,uyl,and walk,nash and,and young,nou,muziek van david,muziek van john,muziek van bobby,muziek van rogier,oke
124,amersfoort,koningsdag,npo ondertiteling,pyramide van austerlitz,ondertiteling,pyramide,mensen,minister,minister grapperhaus,vier jaar,austerlitz,twee,jaar,straf,vier,grapperhaus,oranje,huis,verdachten,volgende
125,sergej,kinderen,wadim,mannen,tanja en sergej,sergej helpt,tanja,afkickcentrum,sergej staan,sergej kennen,sergej kickte,sergej vindt,helpt,hard werken,kerk,warme maaltijd,oekraiense,naschoolse,olesk,opvang
126,looking,looking upstairs looking,the,heel,looking back,the track,juliana,paleis soestdijk,familie,little green bag,mensen,looking for,looking behind,looking upstairs,goed,paleis,nee,got to find,nederland,gaan
